	rho	fdr	rank	percentile
LEE_EARLY_T_LYMPHOCYTE_DN	-0.4656106243190072	1.0	23	0.0028974552784076595
GERHOLD_RESPONSE_TO_TZD_UP	-0.4628366459560105	1.0	24	0.0030234315948601664
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	-0.4623298527954636	1.0	25	0.0031494079113126732
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	-0.45986288869905767	1.0	26	0.00327538422776518
HEIDENBLAD_AMPLIFIED_IN_BONE_CANCER	-0.4576096793655334	1.0	27	0.003401360544217687
HALLMARK_COAGULATION	-0.4564633341350543	1.0	28	0.003527336860670194
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC	-0.45232031889419266	1.0	29	0.003653313177122701
KUROKAWA_LIVER_CANCER_EARLY_RECURRENCE_DN	-0.45216981637094056	1.0	30	0.003779289493575208
NIELSEN_MALIGNAT_FIBROUS_HISTIOCYTOMA_UP	-0.4500125048681458	1.0	31	0.003905265810027715
GO_0019884|antigen processing and presentation of exogenous antigen	-0.4498037425460496	1.0	32	0.004031242126480222
FLECHNER_BIOPSY_KIDNEY_TRANSPLANT_REJECTED_VS_OK_UP	-0.448349373375883	1.0	33	0.0041572184429327285
GO_0006952|defense response	-0.4464454807266494	1.0	34	0.004283194759385236
GO_0032732|positive regulation of interleukin-1 production	-0.44400184013628996	1.0	35	0.004409171075837742
GO_0002824|positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	-0.4435370307821748	1.0	36	0.0045351473922902496
GALE_APL_WITH_FLT3_MUTATED_DN	-0.44350344935575337	1.0	37	0.004661123708742756
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.44209374078530084	1.0	38	0.004787100025195263
GO_0032677|regulation of interleukin-8 production	-0.4416398816700229	1.0	39	0.0049130763416477706
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	-0.4402091883956831	1.0	40	0.005039052658100277
CAMPS_COLON_CANCER_COPY_NUMBER_DN	-0.4389558399407339	1.0	41	0.005165028974552784
GO_0032652|regulation of interleukin-1 production	-0.43724001089198256	1.0	42	0.005291005291005291
GO_0060191|regulation of lipase activity	-0.4368015902914101	1.0	43	0.005416981607457798
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_21	-0.43642435636956334	1.0	44	0.005542957923910304
LEE_AGING_CEREBELLUM_UP	-0.43590993701202135	1.0	45	0.005668934240362812
GO_0009083|branched chain family amino acid catabolic process	-0.4335145791921979	1.0	46	0.005794910556815319
LIU_VAV3_PROSTATE_CARCINOGENESIS_UP	-0.43324703515584917	1.0	47	0.0059208868732678254
GO_0009081|branched chain family amino acid metabolic process	-0.4326644359512771	1.0	48	0.006046863189720333
GO_NEUROLOGICAL_SYSTEM_PROCESS_INVOLVED_IN_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	-0.4324328427046901	1.0	49	0.006172839506172839
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA2_DN	-0.43092453651779045	1.0	50	0.0062988158226253465
GO_0048821|erythrocyte development	-0.4297990018906521	1.0	51	0.006424792139077854
PID_CD8_TCR_PATHWAY	-0.4290190691184543	1.0	52	0.00655076845553036
GO_0007202|activation of phospholipase C activity	-0.42841900807262845	1.0	53	0.0066767447719828675
GO_0010863|positive regulation of phospholipase C activity	-0.42841900807262845	1.0	54	0.006802721088435374
GO_0045909|positive regulation of vasodilation	-0.4279634677707321	1.0	55	0.006928697404887881
GO_0050433|regulation of catecholamine secretion	-0.4277870620824334	1.0	56	0.007054673721340388
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	-0.4273262804626311	1.0	57	0.007180650037792895
GO_0060193|positive regulation of lipase activity	-0.4271864058028058	1.0	58	0.007306626354245402
GO_0002478|antigen processing and presentation of exogenous peptide antigen	-0.42618639146079407	1.0	59	0.007432602670697909
WALLACE_PROSTATE_CANCER_RACE_UP	-0.42567842109470533	1.0	60	0.007558578987150416
REACTOME_ER_PHAGOSOME_PATHWAY	-0.42567200105635644	1.0	61	0.007684555303602922
SASAI_TARGETS_OF_CXCR6_AND_PTCH1_DN	-0.4245058993549106	1.0	62	0.00781053162005543
GO_0010518|positive regulation of phospholipase activity	-0.42369545558305977	1.0	63	0.007936507936507936
SANA_TNF_SIGNALING_UP	-0.42318195268718867	1.0	64	0.008062484252960444
GO_0010517|regulation of phospholipase activity	-0.4229147299550402	1.0	65	0.00818846056941295
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.4227212891970924	1.0	66	0.008314436885865457
GO_0050727|regulation of inflammatory response	-0.421127186151661	1.0	67	0.008440413202317964
CASTELLANO_NRAS_TARGETS_UP	-0.42101434652714725	1.0	68	0.008566389518770472
GO_0002861|regulation of inflammatory response to antigenic stimulus	-0.4207247523913416	1.0	69	0.008692365835222978
NOUSHMEHR_GBM_SILENCED_BY_METHYLATION	-0.4204160046901391	1.0	70	0.008818342151675485
GO_0007200|activation of phospholipase C activity by G-protein coupled receptor protein signaling pathway coupled to IP3 second messenger	-0.42035802709394127	1.0	71	0.008944318468127993
WUNDER_INFLAMMATORY_RESPONSE_AND_CHOLESTEROL_DN	-0.4197451107855731	1.0	72	0.009070294784580499
PELLICCIOTTA_HDAC_IN_ANTIGEN_PRESENTATION_DN	-0.41973023875704635	1.0	73	0.009196271101033006
GO_0042312|regulation of vasodilation	-0.41947730556914886	1.0	74	0.009322247417485512
MIKKELSEN_ES_ICP_WITH_H3K4ME3	-0.4165431186747845	1.0	75	0.00944822373393802
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	-0.4157659544203559	1.0	76	0.009574200050390527
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	-0.41524534448153166	1.0	77	0.009700176366843033
GO_0007566|embryo implantation	-0.414846264515456	1.0	78	0.009826152683295541
GO_NEGATIVE_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS	-0.41446338618118034	1.0	79	0.009952128999748048
RADAEVA_RESPONSE_TO_IFNA1_UP	-0.41240541489169563	1.0	80	0.010078105316200554
GO_0002821|positive regulation of adaptive immune response	-0.41234356443068276	1.0	81	0.01020408163265306
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	-0.410885960927465	1.0	82	0.010330057949105569
GO_0051346|negative regulation of hydrolase activity	-0.40933173813036683	1.0	83	0.010456034265558075
CROMER_TUMORIGENESIS_DN	-0.4087472314516298	1.0	84	0.010582010582010581
REACTOME_NEF_MEDIATED_DOWNREGULATION_OF_MHC_CLASS_I_COMPLEX_CELL_SURFACE_EXPRESSION	-0.4069383923360135	1.0	85	0.01070798689846309
GO_0045776|negative regulation of blood pressure	-0.40570522714940144	1.0	86	0.010833963214915596
GO_0002822|regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	-0.40555514803772136	1.0	87	0.010959939531368102
GO_0050880|regulation of blood vessel size	-0.4051996877813386	1.0	88	0.011085915847820609
GO_0035150|regulation of tube size	-0.4051996877813386	1.0	89	0.011211892164273117
RICKMAN_HEAD_AND_NECK_CANCER_D	-0.4037291026170548	1.0	90	0.011337868480725623
GO_0002709|regulation of T cell mediated immunity	-0.40246891303888754	1.0	91	0.01146384479717813
DER_IFN_ALPHA_RESPONSE_UP	-0.4019351477810669	1.0	92	0.011589821113630638
GO_0046395|carboxylic acid catabolic process	-0.4016036604293866	1.0	93	0.011715797430083144
GO_0016054|organic acid catabolic process	-0.4016036604293866	1.0	94	0.011841773746535651
GO_0045932|negative regulation of muscle contraction	-0.4008678335368802	1.0	95	0.011967750062988159
BIOCARTA_NKCELLS_PATHWAY	-0.40033112187340447	1.0	96	0.012093726379440665
FUNG_IL2_TARGETS_WITH_STAT5_BINDING_SITES	-0.39999904143837395	1.0	97	0.012219702695893172
GO_0002711|positive regulation of T cell mediated immunity	-0.39941781248383773	1.0	98	0.012345679012345678
ROSS_AML_WITH_MLL_FUSIONS	-0.3987520301818647	1.0	99	0.012471655328798186
DER_IFN_GAMMA_RESPONSE_UP	-0.39781894116877825	1.0	100	0.012597631645250693
GO_0014059|regulation of dopamine secretion	-0.396806118426512	1.0	101	0.0127236079617032
BOQUEST_STEM_CELL_DN	-0.39646115928074394	1.0	102	0.012849584278155708
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	-0.39584330772031956	1.0	103	0.012975560594608214
GO_0050906|detection of stimulus involved in sensory perception	-0.3956771981472295	1.0	104	0.01310153691106072
PID_IL12_2PATHWAY	-0.3945254942319158	1.0	105	0.013227513227513227
FERRANDO_LYL1_NEIGHBORS	-0.3944244453093767	1.0	106	0.013353489543965735
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_UP	-0.39252802758736643	1.0	107	0.013479465860418241
NADLER_OBESITY_UP	-0.39224717846799706	1.0	108	0.013605442176870748
STAMBOLSKY_TARGETS_OF_MUTATED_TP53_DN	-0.39103118495887446	1.0	109	0.013731418493323256
MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_2	-0.39092050206501966	1.0	110	0.013857394809775762
HSIAO_LIVER_SPECIFIC_GENES	-0.3905586319056493	1.0	111	0.013983371126228269
GO_0034104|negative regulation of tissue remodeling	-0.39027806248986063	1.0	112	0.014109347442680775
DIAZ_CHRONIC_MEYLOGENOUS_LEUKEMIA_DN	-0.3901480227618323	1.0	113	0.014235323759133283
GO_0051289|protein homotetramerization	-0.3900302517785262	1.0	114	0.01436130007558579
CAHOY_ASTROGLIAL	-0.388600502958504	1.0	115	0.014487276392038296
GO_0050729|positive regulation of inflammatory response	-0.38719179413154364	1.0	116	0.014613252708490804
GO_0034103|regulation of tissue remodeling	-0.3867302090599417	1.0	117	0.01473922902494331
JECHLINGER_EPITHELIAL_TO_MESENCHYMAL_TRANSITION_UP	-0.38576954813820247	1.0	118	0.014865205341395817
MIKKELSEN_IPS_LCP_WITH_H3K27ME3	-0.3851764451597262	1.0	119	0.014991181657848324
NEWMAN_ERCC6_TARGETS_UP	-0.3849442956259629	1.0	120	0.015117157974300832
DEMAGALHAES_AGING_UP	-0.3842970946665917	1.0	121	0.015243134290753338
RUAN_RESPONSE_TO_TNF_DN	-0.3841663875743648	1.0	122	0.015369110607205845
MATZUK_LUTEAL_GENES	-0.383898731657763	1.0	123	0.015495086923658353
TSAI_DNAJB4_TARGETS_DN	-0.3838022346620187	1.0	124	0.01562106324011086
JISON_SICKLE_CELL_DISEASE_UP	-0.38218406471543453	1.0	125	0.015747039556563366
GO_0006749|glutathione metabolic process	-0.38204892691295345	1.0	126	0.015873015873015872
LIANG_SILENCED_BY_METHYLATION_UP	-0.3815665018775062	1.0	127	0.01599899218946838
CLUB	-0.38112352831439206	1.0	128	0.01612496850592089
GO_0046697|decidualization	-0.38094301013386567	1.0	129	0.016250944822373395
LIANG_SILENCED_BY_METHYLATION_2	-0.3805962516766293	1.0	130	0.0163769211388259
WANG_BARRETTS_ESOPHAGUS_UP	-0.38040233272693474	1.0	131	0.016502897455278408
MARKEY_RB1_ACUTE_LOF_UP	-0.3801290979798373	1.0	132	0.016628873771730914
BOWIE_RESPONSE_TO_EXTRACELLULAR_MATRIX	-0.37928425788780323	1.0	133	0.01675485008818342
LEE_LIVER_CANCER_HEPATOBLAST	-0.37835871545385735	1.0	134	0.016880826404635927
KAAB_FAILED_HEART_VENTRICLE_DN	-0.37824596586246423	1.0	135	0.017006802721088437
GO_0048146|positive regulation of fibroblast proliferation	-0.378060713299332	1.0	136	0.017132779037540943
KESHELAVA_MULTIPLE_DRUG_RESISTANCE	-0.37798830920788173	1.0	137	0.01725875535399345
GO_0003018|vascular process in circulatory system	-0.37773417056934033	1.0	138	0.017384731670445956
SEITZ_NEOPLASTIC_TRANSFORMATION_BY_8P_DELETION_UP	-0.37756840593353913	1.0	139	0.017510707986898463
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	-0.37656687710106485	1.0	140	0.01763668430335097
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	-0.3764071104480332	1.0	141	0.017762660619803475
GO_0002819|regulation of adaptive immune response	-0.3762419456411215	1.0	142	0.017888636936255985
LI_INDUCED_T_TO_NATURAL_KILLER_UP	-0.3754679762275374	1.0	143	0.018014613252708492
GO_0019439|aromatic compound catabolic process	-0.375448663225622	1.0	144	0.018140589569160998
KORKOLA_EMBRYONAL_CARCINOMA_UP	-0.3753573949643657	1.0	145	0.018266565885613505
NAKAYAMA_SOFT_TISSUE_TUMORS_PCA1_UP	-0.37529698687109114	1.0	146	0.01839254220206601
GO_0001910|regulation of leukocyte mediated cytotoxicity	-0.375259012561363	1.0	147	0.018518518518518517
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS	-0.37422767058815376	1.0	148	0.018644494834971024
DING_LUNG_CANCER_MUTATED_RECURRENTLY	-0.37418455202217715	1.0	149	0.018770471151423534
ZHAN_MULTIPLE_MYELOMA_SPIKED	-0.37401961575022913	1.0	150	0.01889644746787604
RODWELL_AGING_KIDNEY_UP	-0.37298533476163587	1.0	151	0.019022423784328547
HOSHIDA_LIVER_CANCER_SUBCLASS_S3	-0.3728558109890337	1.0	152	0.019148400100781053
BECKER_TAMOXIFEN_RESISTANCE_UP	-0.3728273448186087	1.0	153	0.01927437641723356
GO_0048145|regulation of fibroblast proliferation	-0.37136197236077767	1.0	154	0.019400352733686066
LUI_THYROID_CANCER_CLUSTER_5	-0.37126875841432794	1.0	155	0.019526329050138572
GO_0002705|positive regulation of leukocyte mediated immunity	-0.37108672859683334	1.0	156	0.019652305366591082
GO_0002708|positive regulation of lymphocyte mediated immunity	-0.37108672859683334	1.0	157	0.01977828168304359
GO_0006800|oxygen and reactive oxygen species metabolic process	-0.371046038373263	1.0	158	0.019904257999496095
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_UP	-0.37090195630923134	1.0	159	0.0200302343159486
GO_0006940|regulation of smooth muscle contraction	-0.37079256571505664	1.0	160	0.020156210632401108
SA_G1_AND_S_PHASES	-0.3690104466482104	1.0	161	0.020282186948853614
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_	-0.3686054531144812	1.0	162	0.02040816326530612
GO_0051341|regulation of oxidoreductase activity	-0.3675711925730484	1.0	163	0.02053413958175863
KRAS.BREAST_UP.V1_UP	-0.36708551780929494	1.0	164	0.020660115898211137
GO_0001893|maternal placenta development	-0.3662266561448585	1.0	165	0.020786092214663644
GO_0001912|positive regulation of leukocyte mediated cytotoxicity	-0.36564574793854027	1.0	166	0.02091206853111615
GO_0003073|regulation of systemic arterial blood pressure	-0.3655135225431053	1.0	167	0.021038044847568656
GO_0002703|regulation of leukocyte mediated immunity	-0.364119978668711	1.0	168	0.021164021164021163
NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	-0.3637313963569069	1.0	169	0.02128999748047367
WANG_BARRETTS_ESOPHAGUS_AND_ESOPHAGUS_CANCER_UP	-0.363720678635343	1.0	170	0.02141597379692618
FURUKAWA_DUSP6_TARGETS_PCI35_UP	-0.3636146408321036	1.0	171	0.021541950113378686
BIOCARTA_ACE2_PATHWAY	-0.36344750414282495	1.0	172	0.021667926429831192
LIU_LIVER_CANCER	-0.3633331299430082	1.0	173	0.0217939027462837
GO_0045727|positive regulation of translation	-0.3633248603088965	1.0	174	0.021919879062736205
DIRMEIER_LMP1_RESPONSE_LATE_DN	-0.36325702366385343	1.0	175	0.02204585537918871
MASRI_RESISTANCE_TO_TAMOXIFEN_AND_AROMATASE_INHIBITORS_DN	-0.3631937337125575	1.0	176	0.022171831695641218
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN	-0.36309972473623187	1.0	177	0.022297808012093728
SUZUKI_AMPLIFIED_IN_ORAL_CANCER	-0.36167604953214527	1.0	178	0.022423784328546234
GO_0051262|protein tetramerization	-0.3611607428572056	1.0	179	0.02254976064499874
GO_0045649|regulation of macrophage differentiation	-0.3605813589545541	1.0	180	0.022675736961451247
GO_0045087|innate immune response	-0.3600814089081112	1.0	181	0.022801713277903753
GO_0048169|regulation of long-term neuronal synaptic plasticity	-0.3597009304746837	1.0	182	0.02292768959435626
GO_0017144|drug metabolic process	-0.35900654442397406	1.0	183	0.02305366591080877
REACTOME_INTERFERON_SIGNALING	-0.3587477164969446	1.0	184	0.023179642227261276
GO_0002706|regulation of lymphocyte mediated immunity	-0.3582789101395333	1.0	185	0.023305618543713782
CHIANG_LIVER_CANCER_SUBCLASS_PROLIFERATION_DN	-0.3575696443094457	1.0	186	0.02343159486016629
GO_0046579|positive regulation of Ras protein signal transduction	-0.3573199482659427	1.0	187	0.023557571176618795
GO_0009581|detection of external stimulus	-0.3565187646521971	1.0	188	0.023683547493071302
GO_0010743|regulation of foam cell differentiation	-0.35522227497580017	1.0	189	0.023809523809523808
CAVARD_LIVER_CANCER_MALIGNANT_VS_BENIGN	-0.3547776420469205	1.0	190	0.023935500125976318
GUO_HEX_TARGETS_DN	-0.3546023652970553	1.0	191	0.024061476442428825
NSCLC_CCLE	-0.35405910294739346	1.0	192	0.02418745275888133
GOLUB_ALL_VS_AML_DN	-0.3534578570482434	1.0	193	0.024313429075333837
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	-0.35325925180841233	1.0	194	0.024439405391786344
MUCINOUS	-0.3529477767591037	1.0	195	0.02456538170823885
MCLACHLAN_DENTAL_CARIES_UP	-0.35265850607155275	1.0	196	0.024691358024691357
BIOCARTA_CELLCYCLE_PATHWAY	-0.3526064242617067	1.0	197	0.024817334341143867
GO_0010466|negative regulation of peptidase activity	-0.35207563227847943	1.0	198	0.024943310657596373
LU_EZH2_TARGETS_UP	-0.35151309702527245	1.0	199	0.02506928697404888
HOFFMANN_SMALL_PRE_BII_TO_IMMATURE_B_LYMPHOCYTE_UP	-0.35138921371849263	1.0	200	0.025195263290501386
MATZUK_EARLY_ANTRAL_FOLLICLE	-0.35119882065787983	1.0	201	0.025321239606953892
GO_0031341|regulation of cell killing	-0.3501060624637922	1.0	202	0.0254472159234064
LIU_SMARCA4_TARGETS	-0.35006323603977063	1.0	203	0.025573192239858905
HUMMERICH_BENIGN_SKIN_TUMOR_UP	-0.34912883359715635	1.0	204	0.025699168556311415
GO_0010522|regulation of calcium ion transport into cytosol	-0.3488408063826986	1.0	205	0.02582514487276392
GO_0051241|negative regulation of multicellular organismal process	-0.34861779453612607	1.0	206	0.025951121189216428
GO_0010744|positive regulation of foam cell differentiation	-0.3484967812923526	1.0	207	0.026077097505668934
SANSOM_APC_TARGETS_DN	-0.34746698556915523	1.0	208	0.02620307382212144
GO_0046641|positive regulation of alpha-beta T cell proliferation	-0.3465404975784624	1.0	209	0.026329050138573947
GO_0046006|regulation of activated T cell proliferation	-0.34630654481080436	1.0	210	0.026455026455026454
PID_CD8_TCR_DOWNSTREAM_PATHWAY	-0.34630089812872905	1.0	211	0.026581002771478963
GO_0046850|regulation of bone remodeling	-0.346056105019448	1.0	212	0.02670697908793147
GO_0045124|regulation of bone resorption	-0.346056105019448	1.0	213	0.026832955404383976
SANCHEZ_MDM2_TARGETS	-0.3454506456642322	1.0	214	0.026958931720836483
GO_0042104|positive regulation of activated T cell proliferation	-0.34476850376349055	1.0	215	0.02708490803728899
VANLOO_SP3_TARGETS_DN	-0.3443343332724587	1.0	216	0.027210884353741496
CAIRO_PML_TARGETS_BOUND_BY_MYC_UP	-0.34382010228183096	1.0	217	0.027336860670194002
LEE_CALORIE_RESTRICTION_MUSCLE_UP	-0.34334860891945285	1.0	218	0.027462836986646512
BASSO_CD40_SIGNALING_UP	-0.3430327198965393	1.0	219	0.02758881330309902
NIKOLSKY_BREAST_CANCER_12Q13_Q21_AMPLICON	-0.34288404184358146	1.0	220	0.027714789619551525
GO_0046640|regulation of alpha-beta T cell proliferation	-0.3422760678410621	1.0	221	0.02784076593600403
BROWNE_INTERFERON_RESPONSIVE_GENES	-0.34199586201850585	1.0	222	0.027966742252456538
GO_0051057|positive regulation of small GTPase mediated signal transduction	-0.3417180352927976	1.0	223	0.028092718568909044
GO_0045723|positive regulation of fatty acid biosynthetic process	-0.34127843090499305	1.0	224	0.02821869488536155
ZHANG_INTERFERON_RESPONSE	-0.3407179011988733	1.0	225	0.02834467120181406
WOO_LIVER_CANCER_RECURRENCE_DN	-0.33907195272580687	1.0	226	0.028470647518266567
BIOCARTA_FREE_PATHWAY	-0.33878019256363806	1.0	227	0.028596623834719073
GO_0032101|regulation of response to external stimulus	-0.3379649143060885	1.0	228	0.02872260015117158
MIKKELSEN_MCV6_ICP_WITH_H3K27ME3	-0.33789779214466503	1.0	229	0.028848576467624086
NAKAJIMA_MAST_CELL	-0.3378005563329353	1.0	230	0.028974552784076592
ESC_V6.5_UP_LATE.V1_DN	-0.33778103761349615	1.0	231	0.0291005291005291
GO_0031343|positive regulation of cell killing	-0.3372246657316313	1.0	232	0.02922650541698161
GO_0045073|regulation of chemokine biosynthetic process	-0.3368212751474926	1.0	233	0.029352481733434115
HOFFMAN_CLOCK_TARGETS_DN	-0.33661403361374165	1.0	234	0.02947845804988662
MATZUK_CENTRAL_FOR_FEMALE_FERTILITY	-0.33621276588985444	1.0	235	0.029604434366339128
ZEILSTRA_CD44_TARGETS_UP	-0.33598320551630834	1.0	236	0.029730410682791635
MCLACHLAN_DENTAL_CARIES_DN	-0.3359519048270501	1.0	237	0.02985638699924414
PIEPOLI_LGI1_TARGETS_DN	-0.3358552898486896	1.0	238	0.029982363315696647
GO_0008217|regulation of blood pressure	-0.3352784743813497	1.0	239	0.030108339632149157
GUTIERREZ_WALDENSTROEMS_MACROGLOBULINEMIA_1_DN	-0.33502043371856277	1.0	240	0.030234315948601664
TCGA_GLIOBLASTOMA_COPY_NUMBER_UP	-0.33486196325392686	1.0	241	0.03036029226505417
FERREIRA_EWINGS_SARCOMA_UNSTABLE_VS_STABLE_DN	-0.3346040118721492	1.0	242	0.030486268581506677
LENAOUR_DENDRITIC_CELL_MATURATION_UP	-0.3341558945041875	1.0	243	0.030612244897959183
VARELA_ZMPSTE24_TARGETS_DN	-0.33415539934861777	1.0	244	0.03073822121441169
HECKER_IFNB1_TARGETS	-0.3340702189740551	1.0	245	0.030864197530864196
LENAOUR_DENDRITIC_CELL_MATURATION_DN	-0.3332178533825268	1.0	246	0.030990173847316706
GO_0050679|positive regulation of epithelial cell proliferation	-0.33292234923279845	1.0	247	0.031116150163769212
GO_0042310|vasoconstriction	-0.3327133587508384	1.0	248	0.03124212648022172
REACTOME_THE_ROLE_OF_NEF_IN_HIV1_REPLICATION_AND_DISEASE_PATHOGENESIS	-0.331924039447561	1.0	249	0.03136810279667423
TAKADA_GASTRIC_CANCER_COPY_NUMBER_UP	-0.33186626074435494	1.0	250	0.03149407911312673
TERAMOTO_OPN_TARGETS_CLUSTER_6	-0.33159302418430886	1.0	251	0.03162005542957924
BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN	-0.33147567735685557	1.0	252	0.031746031746031744
BRACHAT_RESPONSE_TO_METHOTREXATE_DN	-0.3304573720545163	1.0	253	0.031872008062484254
PASTURAL_RIZ1_TARGETS_UP	-0.3298997133224828	1.0	254	0.03199798437893676
RASHI_NFKB1_TARGETS	-0.32988810015245024	1.0	255	0.03212396069538927
BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS	-0.3297195164817402	1.0	256	0.03224993701184178
LINDGREN_BLADDER_CANCER_CLUSTER_2A_UP	-0.329649402633745	1.0	257	0.03237591332829428
RESPONSE_TO_WOUNDING	-0.3288683634751628	1.0	258	0.03250188964474679
VANDESLUIS_COMMD1_TARGETS_GROUP_2_UP	-0.3286200020408246	1.0	259	0.03262786596119929
STOSSI_RESPONSE_TO_ESTRADIOL	-0.32767412342413377	1.0	260	0.0327538422776518
GO_0006518|peptide metabolic process	-0.32737985842937195	1.0	261	0.032879818594104306
WANG_IMMORTALIZED_BY_HOXA9_AND_MEIS1_UP	-0.32733993395465005	1.0	262	0.033005794910556815
HOFMANN_MYELODYSPLASTIC_SYNDROM_RISK_UP	-0.3268348489387795	1.0	263	0.033131771227009325
GO_0055080|cation homeostasis	-0.3264302723852258	1.0	264	0.03325774754346183
GO_0019233|sensory perception of pain	-0.32586270239184184	1.0	265	0.03338372385991434
KONDO_HYPOXIA	-0.32541918733714825	1.0	266	0.03350970017636684
GO_0050678|regulation of epithelial cell proliferation	-0.3247695139784922	1.0	267	0.03363567649281935
MCCOLLUM_GELDANAMYCIN_RESISTANCE_DN	-0.3246784530098957	1.0	268	0.033761652809271854
CAIRO_HEPATOBLASTOMA_DN	-0.3245092579735219	1.0	269	0.033887629125724364
REACTOME_STEROID_HORMONES	-0.3242694994436085	1.0	270	0.034013605442176874
GO_0046635|positive regulation of alpha-beta T cell activation	-0.32406728827344716	1.0	271	0.03413958175862938
REACTOME_ACYL_CHAIN_REMODELLING_OF_PI	-0.3234350451488591	1.0	272	0.03426555807508189
GO_0001890|placenta development	-0.32321998181757133	1.0	273	0.03439153439153439
HUPER_BREAST_BASAL_VS_LUMINAL_DN	-0.32316910275141175	1.0	274	0.0345175107079869
SU_PLACENTA	-0.3231219343684292	1.0	275	0.0346434870244394
