Gene	pval_A	pval_N	freq_A	freq_N
AXL_GAS6	1	1	0	0
AXL_IL15RA	1	1	0	0
BDNF_F11R	0.982714138286894	0.151444788441693	0.153846153846154	0.5
BDNF_NTRK2	1	1	0	0
BDNF_SORT1	0.997088309007814	0.0460342031549463	0.153846153846154	0.666666666666667
BMP2_SMO	1	0.0877192982456141	0	0.333333333333333
BMP7_PTPRK	0.929050567595459	0.37280701754386	0.153846153846154	0.333333333333333
BMP8B_PLAUR	1	1	0	0
BMPR1A_BMPR2_BMP2	1	0.000515995872033023	0	0.833333333333333
BMPR1A_BMPR2_BMP4	1	1	0	0
BMPR1A_BMPR2_BMP5	0.684210526315789	1	0.0769230769230769	0
BMPR1A_BMPR2_BMP6	1	0.315789473684211	0	0.166666666666667
BMPR1A_BMPR2_BMP7	1	0.0206398348813209	0	0.5
BMPR1A_BMPR2_GDF6	1	0.0877192982456141	0	0.333333333333333
BMPR1A_BMPR2_GDF7	1	1	0	0
BMPR1B_BMPR2_BMP2	1	1	0	0
BMPR1B_BMPR2_BMP4	1	1	0	0
BMPR1B_BMPR2_BMPR1A	1	1	0	0
BMR1A_ACR2A_BMP2	1	0.000515995872033023	0	0.833333333333333
BMR1A_ACR2A_BMP4	1	1	0	0
BMR1A_ACR2A_BMP5	0.684210526315789	1	0.0769230769230769	0
BMR1A_ACR2A_BMP6	1	0.315789473684211	0	0.166666666666667
BMR1A_ACR2A_BMP7	1	0.0877192982456141	0	0.333333333333333
BMR1A_ACR2A_GDF6	1	0.0877192982456141	0	0.333333333333333
BMR1A_ACR2A_GDF7	1	1	0	0
BMR1A_AVR2B_BMP2	1	0.000515995872033023	0	0.833333333333333
BMR1A_AVR2B_BMP4	1	1	0	0
BMR1A_AVR2B_BMP5	0.456140350877193	1	0.153846153846154	0
BMR1A_AVR2B_BMP6	1	0.315789473684211	0	0.166666666666667
BMR1A_AVR2B_BMP7	1	0.0206398348813209	0	0.5
BMR1A_AVR2B_GDF6	1	0.0877192982456141	0	0.333333333333333
BMR1A_AVR2B_GDF7	1	1	0	0
BMR1B_AVR2A_BMP2	1	1	0	0
BMR1B_AVR2A_BMP4	1	1	0	0
BMR1B_AVR2B_BMP2	1	1	0	0
BMR1B_AVR2B_BMP4	1	1	0	0
C5_C5AR2	1	1	0	0
CADM1_CADM1	1	0.456140350877193	0.846153846153846	1
CADM1_NECTIN3	0.999742002063984	0.00954592363261094	0.153846153846154	0.833333333333333
CADM3_CADM1	0.929050567595459	0.37280701754386	0.153846153846154	0.333333333333333
CADM3_CADM4	0.929050567595459	0.37280701754386	0.153846153846154	0.333333333333333
CADM3_EPB41L1	0.979360165118679	0.2218782249742	0.0769230769230769	0.333333333333333
CADM3_NECTIN3	0.979360165118679	0.2218782249742	0.0769230769230769	0.333333333333333
CCK_CCKBR	1	0.315789473684211	0	0.166666666666667
CCL2_ACKR1	1	1	0	0
CCL2_CCR10	1	1	0	0
CCL4_SLC7A1	1	1	0	0
CCL5_ACKR1	1	1	0	0
CCR10_CCL28	0.684210526315789	1	0.0769230769230769	0
CD160_TNFRSF14	1	1	0	0
CD226_NECTIN2	1	1	0	0
CD40_TNFSF13B	1	1	0	0
CD44_FGFR2	1	1	0	0
CD44_HBEGF	1	1	0	0
CD44_SELE	1	1	0	0
CD46_JAG1	0.979360165118679	0.2218782249742	0.0769230769230769	0.333333333333333
CD47_SIRB1 complex	1	1	0	0
CD55_ADGRE5	1	1	0	0
CD6_ALCAM	1	1	0	0
CD72_SEMA4D	1	1	0	0
CD74_APP	1	1	0	0
CD74_COPA	1	1	0	0
CD74_MIF	0.684210526315789	1	0.0769230769230769	0
CD8 receptor_LCK	1	1	0	0
CD96_NECTIN1	1	1	0	0
CD99_PILRA	1	1	0	0
CDH1_a2b1 complex	0.684210526315789	1	0.0769230769230769	0
CDH1_aEb7 complex	0.684210526315789	1	0.0769230769230769	0
CDH1_KLRG1	1	1	0	0
CEACAM1_CEACAM6	1	1	0	0
CEACAM1_SELE	1	1	0	0
CEACAM5_CEACAM1	0.684210526315789	1	0.0769230769230769	0
CEACAM5_CEACAM6	0.456140350877193	1	0.153846153846154	0
CEACAM6_CEACAM6	0.456140350877193	1	0.153846153846154	0
CLEC2B_KLRF1	1	1	0	0
CMKLR1_RARRES2	1	1	0	0
CNTF-1R_CLCF1	1	1	0	0
COL10A1_a10b1 complex	1	1	0	0
COL10A1_a1b1 complex	1	1	0	0
COL10A1_a2b1 complex	1	1	0	0
COL11A1_a2b1 complex	1	1	0	0
COL11A2_a10b1 complex	1	1	0	0
COL11A2_a11b1 complex	1	1	0	0
COL11A2_a1b1 complex	1	1	0	0
COL11A2_a2b1 complex	1	1	0	0
COL12A1_a10b1 complex	1	1	0	0
COL12A1_a11b1 complex	1	1	0	0
COL12A1_a1b1 complex	1	1	0	0
COL12A1_a2b1 complex	1	1	0	0
COL13A1_a10b1 complex	1	1	0	0
COL13A1_a1b1 complex	1	1	0	0
COL13A1_a2b1 complex	1	1	0	0
COL14A1_a10b1 complex	1	1	0	0
COL14A1_a11b1 complex	1	1	0	0
COL14A1_a1b1 complex	1	1	0	0
COL14A1_a2b1 complex	1	1	0	0
COL15A1_a10b1 complex	1	1	0	0
COL15A1_a11b1 complex	1	1	0	0
COL15A1_a1b1 complex	1	1	0	0
COL15A1_a2b1 complex	1	1	0	0
COL16A1_a10b1 complex	1	1	0	0
COL16A1_a1b1 complex	1	1	0	0
COL16A1_a2b1 complex	1	1	0	0
COL17A1_a10b1 complex	1	1	0	0
COL17A1_a1b1 complex	1	1	0	0
COL17A1_a2b1 complex	1	1	0	0
COL18A1_a10b1 complex	1	1	0	0
COL18A1_a11b1 complex	1	1	0	0
COL18A1_a1b1 complex	1	1	0	0
COL18A1_a2b1 complex	1	1	0	0
COL19A1_a2b1 complex	1	1	0	0
COL1A1_a10b1 complex	1	1	0	0
COL1A1_a11b1 complex	1	1	0	0
COL1A1_a1b1 complex	1	1	0	0
COL1A1_a2b1 complex	1	1	0	0
COL1A2_a10b1 complex	1	1	0	0
COL1A2_a11b1 complex	1	1	0	0
COL1A2_a1b1 complex	1	0.315789473684211	0	0.166666666666667
COL1A2_a2b1 complex	1	1	0	0
COL21A1_a10b1 complex	1	1	0	0
COL21A1_a11b1 complex	1	1	0	0
COL21A1_a1b1 complex	1	0.315789473684211	0	0.166666666666667
COL21A1_a2b1 complex	0.684210526315789	1	0.0769230769230769	0
COL22A1_a10b1 complex	1	1	0	0
COL22A1_a1b1 complex	1	1	0	0
COL22A1_a2b1 complex	1	1	0	0
COL24A1_a10b1 complex	1	1	0	0
COL24A1_a1b1 complex	1	1	0	0
COL24A1_a2b1 complex	1	1	0	0
COL26A1_a10b1 complex	1	1	0	0
COL26A1_a1b1 complex	1	1	0	0
COL26A1_a2b1 complex	1	1	0	0
COL27A1_a10b1 complex	1	1	0	0
COL27A1_a1b1 complex	1	0.315789473684211	0	0.166666666666667
COL27A1_a2b1 complex	1	1	0	0
COL2A1_a10b1 complex	1	1	0	0
COL2A1_a1b1 complex	1	1	0	0
COL3A1_a10b1 complex	1	1	0	0
COL3A1_a11b1 complex	1	1	0	0
COL3A1_a1b1 complex	1	1	0	0
COL3A1_a2b1 complex	1	1	0	0
COL4A1_a10b1 complex	1	1	0	0
COL4A1_a11b1 complex	1	1	0	0
COL4A1_a1b1 complex	1	1	0	0
COL4A1_a2b1 complex	1	1	0	0
COL4A2_a10b1 complex	1	1	0	0
COL4A2_a11b1 complex	1	1	0	0
COL4A2_a1b1 complex	1	1	0	0
COL4A2_a2b1 complex	1	1	0	0
COL4A4_a10b1 complex	1	1	0	0
COL4A4_a1b1 complex	1	1	0	0
COL4A5_a10b1 complex	1	1	0	0
COL4A5_a11b1 complex	1	1	0	0
COL4A5_a1b1 complex	1	0.315789473684211	0	0.166666666666667
COL4A5_a2b1 complex	1	1	0	0
COL4A6_a10b1 complex	1	1	0	0
COL4A6_a1b1 complex	1	0.315789473684211	0	0.166666666666667
COL4A6_a2b1 complex	1	1	0	0
COL5A1_a10b1 complex	1	1	0	0
COL5A1_a11b1 complex	1	1	0	0
COL5A1_a1b1 complex	1	1	0	0
COL5A1_a2b1 complex	1	1	0	0
COL5A2_a10b1 complex	1	1	0	0
COL5A2_a11b1 complex	1	1	0	0
COL5A2_a1b1 complex	1	1	0	0
COL5A2_a2b1 complex	1	1	0	0
COL5A3_a10b1 complex	1	1	0	0
COL5A3_a1b1 complex	1	1	0	0
COL5A3_a2b1 complex	1	1	0	0
COL6A1_a10b1 complex	1	1	0	0
COL6A1_a11b1 complex	1	1	0	0
COL6A1_a1b1 complex	1	1	0	0
COL6A1_a2b1 complex	1	1	0	0
COL6A2_a10b1 complex	1	1	0	0
COL6A2_a11b1 complex	1	1	0	0
COL6A2_a1b1 complex	1	1	0	0
COL6A2_a2b1 complex	1	1	0	0
COL6A3_a10b1 complex	1	1	0	0
COL6A3_a11b1 complex	1	1	0	0
COL6A3_a1b1 complex	1	1	0	0
COL6A3_a2b1 complex	1	1	0	0
COL7A1_a10b1 complex	1	1	0	0
COL7A1_a1b1 complex	1	1	0	0
COL7A1_a2b1 complex	1	1	0	0
COL8A1_a10b1 complex	1	1	0	0
COL8A1_a1b1 complex	1	1	0	0
COL8A1_a2b1 complex	1	1	0	0
COL8A2_a10b1 complex	1	1	0	0
COL8A2_a1b1 complex	1	1	0	0
COL8A2_a2b1 complex	0.684210526315789	1	0.0769230769230769	0
COL9A1_a10b1 complex	1	1	0	0
COL9A1_a1b1 complex	1	1	0	0
COL9A1_a2b1 complex	1	1	0	0
COL9A2_a10b1 complex	1	1	0	0
COL9A2_a11b1 complex	1	1	0	0
COL9A2_a1b1 complex	1	1	0	0
COL9A2_a2b1 complex	1	1	0	0
COL9A3_a10b1 complex	1	1	0	0
COL9A3_a11b1 complex	1	1	0	0
COL9A3_a1b1 complex	1	0.0877192982456141	0	0.333333333333333
COL9A3_a2b1 complex	1	1	0	0
COPA_P2RY6	1	1	0	0
COPA_SORT1	0.815531475748194	0.62719298245614	0.769230769230769	0.833333333333333
CRTAM_CADM1	1	1	0	0
CSF1_CELSR3	1	1	0	0
CSF1_SIRPA	1	1	0	0
CSF1_SLC7A1	0.684210526315789	1	0.0769230769230769	0
CSPG4_a3b1 complex	1	1	0	0
CXADR_FAM3C	0.0877192982456141	1	1	0.666666666666667
CXCL10_DPP4	1	1	0	0
CXCL11_ACKR3	1	1	0	0
CXCL12_CXCR4	1	1	0	0
CXCL1_ACKR1	1	1	0	0
CXCL2_DPP4	1	1	0	0
CXCL8_ACKR1	1	1	0	0
CXCR6_CXCL16	1	1	0	0
DLK1_NOTCH2	1	0.0206398348813209	0	0.5
DLK1_NOTCH3	1	1	0	0
DLK1_NOTCH4	0.743144626271561	0.652145068553737	0.307692307692308	0.333333333333333
DLL1_NOTCH1	1	0.0877192982456141	0	0.333333333333333
DLL1_NOTCH2	1	1	0	0
DLL1_NOTCH3	1	1	0	0
DLL1_NOTCH4	0.184468524251806	1	0.307692307692308	0
DLL3_NOTCH3	1	0.315789473684211	0	0.166666666666667
DLL4_NOTCH3	1	1	0	0
DPP4_CXCL12	1	0.0877192982456141	0	0.333333333333333
DSC2_DSG2	0.743144626271561	0.652145068553737	0.307692307692308	0.333333333333333
DSG2_DSC3	1	0.315789473684211	0	0.166666666666667
EDA_EDA2R	1	1	0	0
EDN2_EDNRA	1	1	0	0
EFNA1_EPHA1	1	1	0	0
EFNA1_EPHA2	1	1	0	0
EFNA1_EPHA3	1	1	0	0
EFNA1_EPHA4	0.912280701754386	0.543859649122807	0.0769230769230769	0.166666666666667
EFNA1_EPHA7	0.90531475748194	0.378482972136223	0.307692307692308	0.5
EFNA1_EPHA8	0.929050567595459	0.37280701754386	0.153846153846154	0.333333333333333
EFNA3_EPHA4	0.912280701754386	0.543859649122807	0.0769230769230769	0.166666666666667
EFNA3_EPHA7	0.90531475748194	0.378482972136223	0.307692307692308	0.5
EFNA4_EPHA4	1	0.315789473684211	0	0.166666666666667
EFNA4_EPHA7	1	0.315789473684211	0	0.166666666666667
EFNA5_EPHA4	0.7781217750258	0.70485036119711	0.153846153846154	0.166666666666667
EFNA5_EPHA7	0.90531475748194	0.378482972136223	0.307692307692308	0.5
EFNB2_EPHA4	0.848555211558307	0.520381836945304	0.230769230769231	0.333333333333333
EFNB2_EPHB1	0.295149638802889	1	0.230769230769231	0
EFNB2_EPHB3	0.848555211558307	0.520381836945304	0.230769230769231	0.333333333333333
EFNB2_EPHB4	1	0.0877192982456141	0	0.333333333333333
EGFR_AREG	1	1	0	0
EGFR_BTC	1	1	0	0
EGFR_COPA	0.456140350877193	1	0.153846153846154	0
EGFR_EPGN	1	1	0	0
EGFR_GRN	0.684210526315789	1	0.0769230769230769	0
EGFR_HBEGF	1	1	0	0
EGFR_MIF	0.62719298245614	0.815531475748194	0.230769230769231	0.166666666666667
EGFR_NRG1	0.456140350877193	1	0.153846153846154	0
EGFR_TGFA	1	1	0	0
EGFR_TGFB1	1	1	0	0
EPHA1_EFNA3	1	1	0	0
EPHA1_EFNA5	1	1	0	0
EPHA2_EFNA3	1	1	0	0
EPHA2_EFNA4	1	1	0	0
EPHA2_EFNA5	1	1	0	0
EPHA3_EFNA3	1	1	0	0
EPHA3_EFNA4	1	1	0	0
EPHA3_EFNA5	1	1	0	0
EPHA4_EFNB1	0.929050567595459	0.37280701754386	0.153846153846154	0.333333333333333
EPHA4_EFNB3	1	0.315789473684211	0	0.166666666666667
EPHA8_EFNA3	0.982714138286894	0.151444788441693	0.153846153846154	0.5
EPHA8_EFNA4	0.912280701754386	0.543859649122807	0.0769230769230769	0.166666666666667
EPHA8_EFNA5	0.953965796845054	0.256855373728439	0.230769230769231	0.5
EPHB1_EFNB1	0.621517027863777	0.761609907120743	0.384615384615385	0.333333333333333
EPHB1_EFNB3	0.929050567595459	0.37280701754386	0.153846153846154	0.333333333333333
EPHB2_EFNA5	0.953965796845054	0.256855373728439	0.230769230769231	0.5
EPHB2_EFNB1	0.996904024767802	0.0495356037151703	0.307692307692308	0.833333333333333
EPHB2_EFNB2	0.848555211558307	0.520381836945304	0.230769230769231	0.333333333333333
EPHB2_EFNB3	0.953965796845054	0.256855373728439	0.230769230769231	0.5
EPHB3_EFNB1	0.979360165118679	0.2218782249742	0.0769230769230769	0.333333333333333
EPHB3_EFNB3	1	0.315789473684211	0	0.166666666666667
EPHB4_EFNB1	1	0.0206398348813209	0	0.5
EPHB4_EFNB3	1	0.0877192982456141	0	0.333333333333333
EPHB6_EFNB1	1	0.0877192982456141	0	0.333333333333333
EPHB6_EFNB2	1	1	0	0
EPHB6_EFNB3	1	0.0877192982456141	0	0.333333333333333
EPOR_KITLG	0.741486068111455	0.630030959752322	0.461538461538462	0.5
ERBB3_BTC	1	1	0	0
ERBB3_NRG1	0.743144626271561	0.652145068553737	0.307692307692308	0.333333333333333
ERBB4_HBEGF	1	1	0	0
EREG_EGFR	1	1	0	0
EREG_ERBB4	1	1	0	0
ESAM_ESAM	0.684210526315789	1	0.0769230769230769	0
FAM3C_CLEC2D	1	1	0	0
FBN1_a5b1 complex	1	1	0	0
FCGR2A_CXCL9	1	1	0	0
FcRn complex_ALB	1	1	0	0
FFAR2_FAM3C	1	0.0877192982456141	0	0.333333333333333
FFAR2_TNF	1	0.315789473684211	0	0.166666666666667
FGF17_FGFR1	1	0.315789473684211	0	0.166666666666667
FGF17_FGFR3	1	0.0877192982456141	0	0.333333333333333
FGF17_FGFR4	1	0.0877192982456141	0	0.333333333333333
FGF18_FGFR1	0.347854931446263	0.936753648827952	0.384615384615385	0.166666666666667
FGF18_FGFR2	1	1	0	0
FGF18_FGFR3	1	0.0877192982456141	0	0.333333333333333
FGF18_FGFR4	1	0.0877192982456141	0	0.333333333333333
FGF1_FGFR1	1	1	0	0
FGF1_FGFR4	1	1	0	0
FGF1_TGFBR3	1	1	0	0
FGF2_aVb3 complex	1	1	0	0
FGF2_CD44	1	1	0	0
FGF2_FGFR1	1	0.315789473684211	0	0.166666666666667
FGF2_FGFR4	1	1	0	0
FGF2_FGFRL1	1	0.315789473684211	0	0.166666666666667
FGF5_FGFR3	1	0.315789473684211	0	0.166666666666667
FGF6_FGFR1	1	1	0	0
FGF7_FGFR2	1	1	0	0
FGFR1_FGF23	1	0.0877192982456141	0	0.333333333333333
FGFR1_FGF5	1	0.315789473684211	0	0.166666666666667
FGFR1_FGF7	0.456140350877193	1	0.153846153846154	0
FGFR1_FGF9	0.295149638802889	1	0.230769230769231	0
FGFR1_KL	1	1	0	0
FGFR1_NCAM1	0.95046439628483	0.258513931888545	0.384615384615385	0.666666666666667
FGFR2_CD83	1	1	0	0
FGFR2_EPHA4	1	1	0	0
FGFR2_FGF9	1	1	0	0
FGFR2_NECTIN1	1	1	0	0
FGFR2_XPR1	1	0.315789473684211	0	0.166666666666667
FGFR3_EPHA4	1	0.315789473684211	0	0.166666666666667
FGFR3_FGF23	1	0.315789473684211	0	0.166666666666667
FGFR3_NECTIN1	1	0.00386996904024768	0	0.666666666666667
FGFR4_SCGB3A1	1	0.0877192982456141	0	0.333333333333333
FLT1 complex_PGF	1	1	0	0
FLT1 complex_VEGFA	1	1	0	0
FLT1 complex_VEGFB	1	1	0	0
FLT1_PGF	1	0.315789473684211	0	0.166666666666667
FLT1_VEGFB	1	0.315789473684211	0	0.166666666666667
FLT4_VEGFC	1	1	0	0
FN1_a10b1 complex	1	1	0	0
FN1_a11b1 complex	1	1	0	0
FN1_a2b1 complex	1	1	0	0
FN1_a3b1 complex	0.295149638802889	1	0.230769230769231	0
FN1_a4b1 complex	1	1	0	0
FN1_a5b1 complex	1	1	0	0
FN1_a8b1 complex	1	1	0	0
FN1_aVb1 complex	0.456140350877193	1	0.153846153846154	0
FN1_aVb3 complex	1	1	0	0
FN1_aVb5 complex	1	1	0	0
FZD6_WNT4	0.996130030959752	0.0709494324045408	0.0769230769230769	0.5
FZD6_WNT5A	1	1	0	0
FZD7_WNT3	1	1	0	0
FZD9_WNT7A	1	1	0	0
GAL_GALR1	1	0.0877192982456141	0	0.333333333333333
GALR2_GAL	1	0.315789473684211	0	0.166666666666667
GDF11_ANTXR1	1	0.00386996904024768	0	0.666666666666667
GDF11_TGFR_AVR2A	0.976264189886481	0.165634674922601	0.307692307692308	0.666666666666667
GDF11_TGFR_AVR2B	0.96594427244582	0.238390092879257	0.538461538461538	0.833333333333333
GDF9_TGFR_BMPR2	1	1	0	0
GDNF_RET receptor 1	1	1	0	0
GIP_DPP4	1	1	0	0
GPR19_ENHO	0.456140350877193	1	0.153846153846154	0
GPR1_RARRES2	1	1	0	0
GPR37L1_PSAP	1	1	0	0
GPR37_PSAP	1	1	0	0
GRIN2A_IL16	1	1	0	0
GRN_SORT1	0.62719298245614	0.815531475748194	0.230769230769231	0.166666666666667
HGF_CD44	1	1	0	0
HLA-C_FAM3C	1	1	0	0
ICAM1_AREG	1	1	0	0
ICAM1_aXb2 complex	1	1	0	0
IGF1_a6b4 complex	1	1	0	0
IGF1_IGF1R	1	1	0	0
IGF2_IDE	0.7781217750258	0.70485036119711	0.153846153846154	0.166666666666667
IGF2_IGF1R	0.982714138286894	0.151444788441693	0.153846153846154	0.5
IGF2_IGF2R	0.953965796845054	0.256855373728439	0.230769230769231	0.5
IGFL2_IGFLR1	1	1	0	0
IL15_IL15RA	1	1	0	0
IL16_GRIN2C	1	1	0	0
IL1 receptor_IL1B	1	1	0	0
IL1 receptor inhibitor_IL1B	1	1	0	0
IL26 receptor_IL26	1	1	0	0
IL6_HRH1	1	1	0	0
IL6 receptor_IL6	1	1	0	0
INHBE_ACVR2B	0.997088309007814	0.0460342031549463	0.153846153846154	0.666666666666667
JAG1_NOTCH2	1	1	0	0
JAG1_NOTCH3	1	1	0	0
JAG1_NOTCH4	0.684210526315789	1	0.0769230769230769	0
JAM2_a4b1 complex	1	1	0	0
JAM2_JAM3	0.999484004127967	0.0172858617131063	0.0769230769230769	0.666666666666667
JAM3_JAM3	0.543859649122807	0.912280701754386	0.923076923076923	0.833333333333333
KDR_VEGFC	1	1	0	0
KISS1_KISS1R	0.912280701754386	0.543859649122807	0.0769230769230769	0.166666666666667
KIT_KITLG	0.506191950464397	0.834365325077399	0.615384615384615	0.5
KLRG2_WNT11	1	1	0	0
KLRG2_WNT5B	1	1	0	0
L1CAM_a5b1 complex	1	1	0	0
L1CAM_aVb3 complex	1	1	0	0
L1CAM_L1CAM	0.761609907120743	0.621517027863777	0.615384615384615	0.666666666666667
LAMA3_a3b1 complex	1	0.315789473684211	0	0.166666666666667
LAMC1_a2b1 complex	1	1	0	0
LAMC1_a6b1 complex	0.456140350877193	1	0.153846153846154	0
LAMC1_a7b1 complex	0.979360165118679	0.2218782249742	0.0769230769230769	0.333333333333333
LAMC1_aVb3 complex	1	1	0	0
LAMP1_FAM3C	0.153250773993808	0.98297213622291	0.538461538461538	0.166666666666667
LGALS9_CD44	1	1	0	0
LGALS9_CD47	0.684210526315789	1	0.0769230769230769	0
LGALS9_DAG1	1	1	0	0
LGALS9_LRP1	1	1	0	0
LGALS9_MET	1	1	0	0
LGALS9_MRC2	1	1	0	0
LGALS9_PTPRK	1	1	0	0
LGALS9_SLC1A5	0.684210526315789	1	0.0769230769230769	0
LGALS9_SORL1	1	1	0	0
LRP1_ERFE	1	1	0	0
LRP5_FAM3B	0.369969040247678	0.908668730650155	0.538461538461538	0.333333333333333
LRP6_CKLF	0.982714138286894	0.151444788441693	0.153846153846154	0.5
LTBR_LTB	1	1	0	0
MDK_LRP1	0.912280701754386	0.543859649122807	0.0769230769230769	0.166666666666667
MDK_PTPRZ1	0.7781217750258	0.70485036119711	0.153846153846154	0.166666666666667
MDK_SORL1	1	0.184468524251806	0.692307692307692	1
MERTK_GAS6	1	0.315789473684211	0	0.166666666666667
MET_HGF	1	1	0	0
MIF_TNFRSF10D	1	0.0206398348813209	0	0.5
MIF_TNFRSF14	0.621517027863777	0.761609907120743	0.384615384615385	0.333333333333333
MST1_MST1R	1	1	0	0
NAMPT_IL13RA2	1	1	0	0
NAMPT_P2RY6	1	1	0	0
NCAM1_BDNF	0.982714138286894	0.151444788441693	0.153846153846154	0.5
NCAM1_GDNF	1	0.315789473684211	0	0.166666666666667
NECTIN1_CADM3	0.929050567595459	0.37280701754386	0.153846153846154	0.333333333333333
NECTIN1_NECTIN3	0.997088309007814	0.0460342031549463	0.153846153846154	0.666666666666667
NECTIN1_NECTIN4	1	1	0	0
NECTIN2_NECTIN3	0.929050567595459	0.37280701754386	0.153846153846154	0.333333333333333
NGF_NGFR	0.684210526315789	1	0.0769230769230769	0
NGFR_BDNF	0.979360165118679	0.2218782249742	0.0769230769230769	0.333333333333333
NGFR_NTF3	0.684210526315789	1	0.0769230769230769	0
NOTCH1_DLK1	0.996130030959752	0.0709494324045408	0.0769230769230769	0.5
NOTCH1_DLL3	0.996130030959752	0.0709494324045408	0.0769230769230769	0.5
NOTCH1_DLL4	1	0.315789473684211	0	0.166666666666667
NOTCH1_JAG1	1	0.0877192982456141	0	0.333333333333333
NOTCH1_JAG2	1	0.0877192982456141	0	0.333333333333333
NOTCH1_WNT4	1	0.0877192982456141	0	0.333333333333333
NOTCH2_DLL3	1	0.00386996904024768	0	0.666666666666667
NOTCH2_DLL4	1	1	0	0
NOTCH2_JAG2	1	1	0	0
NOTCH3_JAG2	1	1	0	0
NOTCH4_DLL3	0.493808049535604	0.846749226006192	0.461538461538462	0.333333333333333
NOTCH4_DLL4	0.184468524251806	1	0.307692307692308	0
NOTCH4_JAG2	0.684210526315789	1	0.0769230769230769	0
NPPA_NPR1	1	1	0	0
NPPA_NPR3	1	1	0	0
NPPB_DPP4	1	1	0	0
NPR1_NPPB	1	1	0	0
NPR1_NPPC	1	1	0	0
NRG1_a6b4 complex	1	1	0	0
NRG1_ERBB4	1	1	0	0
NRG1_LGR4	0.238390092879257	0.96594427244582	0.461538461538462	0.166666666666667
NRG1_LSR	0.369969040247678	0.908668730650155	0.538461538461538	0.333333333333333
NRG1_NETO2	0.493808049535604	0.846749226006192	0.461538461538462	0.333333333333333
NRG2_ERBB3	1	0.0206398348813209	0	0.5
NRP1_PGF	0.7781217750258	0.70485036119711	0.153846153846154	0.166666666666667
NRP1_SEMA3A	1	1	0	0
NRP1_VEGFA	0.456140350877193	1	0.153846153846154	0
NRP1_VEGFB	0.7781217750258	0.70485036119711	0.153846153846154	0.166666666666667
NRP2_PGF	0.999963143151998	0.00291169099218635	0.0769230769230769	0.833333333333333
NRP2_SEMA3C	1	0.315789473684211	0	0.166666666666667
NRP2_SEMA3F	1	0.315789473684211	0	0.166666666666667
