	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
NNAT	NNAT	0.0	0.7071365480093721	0.734736371075746	0.679536724942998	0.0	NNAT	0.7071365480093721	5e-324	0.3793731	1074.0
S100A11	S100A11	0.0	1.10116942542957	1.1280083499114	1.07433050094775	0.0	S100A11	1.10116942542957	5e-324	0.92577785	1074.0
NPW	NPW	0.0	0.769141765111715	0.7892106671793051	0.749072863044125	0.0	NPW	0.769141765111715	5e-324	0.6005769	1074.0
COL1A2	COL1A2	0.0	0.6058079837130711	0.6255073212976839	0.586108646128457	0.0	COL1A2	0.6058079837130711	5e-324	0.57551676	1074.0
VIM	VIM	0.0	0.609306802698975	0.631334898738596	0.587278706659354	0.0	VIM	0.609306802698975	5e-324	0.6993191	1074.0
FAM213A	FAM213A	0.0	0.690975073326556	0.7091591421884901	0.6727910044646209	0.0	FAM213A	0.690975073326556	5e-324	1.405664	1074.0
SST	SST	0.0	0.902195577857667	0.936701426045435	0.8676897296698991	0.0	SST	0.902195577857667	5e-324	0.7278373	1074.0
DST	DST	0.0	0.6071451000982979	0.622407853567103	0.5918823466294929	0.0	DST	0.6071451000982979	5e-324	0.45154148	1074.0
DLK1	DLK1	0.0	0.9183448524063229	0.947964719957999	0.8887249848546469	0.0	DLK1	0.9183448524063229	5e-324	0.9226781	1074.0
SSTR2	SSTR2	0.0	0.7729098918068961	0.7897042707859759	0.7561155128278159	0.0	SSTR2	0.7729098918068961	5e-324	0.40173933	1074.0
ATF5	ATF5	0.0	0.699144808375964	0.7221166484333721	0.676172968318557	0.0	ATF5	0.699144808375964	5e-324	0.81186944	1074.0
FBLN1	FBLN1	0.0	0.656016884525094	0.6714940530150271	0.640539716035161	0.0	FBLN1	0.656016884525094	5e-324	0.48570234	1074.0
CD63	CD63	0.0	0.604422510157625	0.62091543246995	0.5879295878453	0.0	CD63	0.604422510157625	5e-324	2.7526867	1074.0
CHGB	CHGB	0.0	0.9439217686037259	0.969016899016283	0.918826638191169	0.0	CHGB	0.9439217686037259	5e-324	1.5582173	1074.0
CHGA	CHGA	0.0	0.8856398093852	0.9147516046078199	0.856528014162581	0.0	CHGA	0.8856398093852	5e-324	2.5480964	1074.0
TUBB2B	TUBB2B	0.0	-1.2847125044404801	-1.26436498424936	-1.30506002463161	0.0	TUBB2B	-1.2847125044404801	5e-324	2.119902	-1074.0
PERP	PERP	0.0	-0.8036576653182791	-0.78477459132426	-0.8225407393122991	0.0	PERP	-0.8036576653182791	5e-324	1.2417461	-1074.0
UQCR11	UQCR11	0.0	-0.60438265088919	-0.5898750034646129	-0.6188902983137671	0.0	UQCR11	-0.60438265088919	5e-324	2.1058187	-1074.0
UCHL1	UCHL1	0.0	-0.901847260652957	-0.8815196412560931	-0.922174880049821	0.0	UCHL1	-0.901847260652957	5e-324	1.8903269	-1074.0
SEC11C	SEC11C	0.0	-1.30926211443807	-1.28448171787592	-1.33404251100022	0.0	SEC11C	-1.30926211443807	5e-324	3.8312886	-1074.0
PPP1R14B	PPP1R14B	0.0	-0.6799576099274941	-0.6611686255704909	-0.698746594284496	0.0	PPP1R14B	-0.6799576099274941	5e-324	1.8753947	-1074.0
TUBA1A	TUBA1A	0.0	-0.915336160800789	-0.896631221550937	-0.934041100050641	0.0	TUBA1A	-0.915336160800789	5e-324	3.7696934	-1074.0
RBP1	RBP1	0.0	-0.917413329413205	-0.894126201827027	-0.940700456999383	0.0	RBP1	-0.917413329413205	5e-324	1.3021413	-1074.0
TPD52	TPD52	0.0	-0.6280586817331579	-0.611636878688245	-0.644480484778072	0.0	TPD52	-0.6280586817331579	5e-324	1.3324355	-1074.0
TMEM258	TMEM258	0.0	-0.647565851667639	-0.6347119169137329	-0.6604197864215451	0.0	TMEM258	-0.647565851667639	5e-324	2.449608	-1074.0
TFF3	TFF3	0.0	-2.05920469761275	-2.03823015830276	-2.08017923692275	0.0	TFF3	-2.05920469761275	5e-324	2.6939766	-1074.0
SOX4	SOX4	0.0	-0.7998790330301391	-0.78047040589641	-0.819287660163869	0.0	SOX4	-0.7998790330301391	5e-324	3.062432	-1074.0
AC090498.1	AC090498.1	0.0	-0.6108830376693599	-0.5930100615488871	-0.628756013789834	0.0	AC090498.1	-0.6108830376693599	5e-324	1.4754245	-1074.0
MEST	MEST	0.0	-0.651179971862227	-0.627939783458467	-0.6744201602659861	0.0	MEST	-0.651179971862227	5e-324	1.3219221	-1074.0
NDUFB4	NDUFB4	0.0	-0.604752377671578	-0.591208609772926	-0.6182961455702299	0.0	NDUFB4	-0.604752377671578	5e-324	2.2176876	-1074.0
FAM3B	FAM3B	0.0	-0.6997201189107571	-0.6880679841437299	-0.7113722536777851	0.0	FAM3B	-0.6997201189107571	5e-324	0.6886883	-1074.0
ASCL1	ASCL1	0.0	-1.52415332186788	-1.5004660377881798	-1.54784060594758	0.0	ASCL1	-1.52415332186788	5e-324	2.016957	-1074.0
C4ORF48	C4ORF48	0.0	-0.6232962956391469	-0.603246726405412	-0.6433458648728809	0.0	C4ORF48	-0.6232962956391469	5e-324	0.9657626	-1074.0
CD24	CD24	0.0	-0.6430972755687391	-0.625734729092126	-0.660459822045353	0.0	CD24	-0.6430972755687391	5e-324	3.0711086	-1074.0
CFL1	CFL1	0.0	-0.792061307628137	-0.778776060594476	-0.8053465546617969	0.0	CFL1	-0.792061307628137	5e-324	3.304428	-1074.0
CLDN3	CLDN3	0.0	-0.7895748662683241	-0.769663257766231	-0.8094864747704159	0.0	CLDN3	-0.7895748662683241	5e-324	1.5559593	-1074.0
COTL1	COTL1	0.0	-0.9748004576797099	-0.9523981619903101	-0.9972027533691099	0.0	COTL1	-0.9748004576797099	5e-324	1.2724551	-1074.0
COX8A	COX8A	0.0	-0.635146597736005	-0.621421005710659	-0.64887218976135	0.0	COX8A	-0.635146597736005	5e-324	2.6377735	-1074.0
CTXN1	CTXN1	0.0	-0.603851098259938	-0.5909977211249661	-0.616704475394911	0.0	CTXN1	-0.603851098259938	5e-324	0.56631005	-1074.0
DHPS	DHPS	0.0	-0.593153083270316	-0.578006374364828	-0.608299792175803	0.0	DHPS	-0.593153083270316	5e-324	1.1577733	-1074.0
ELF3	ELF3	0.0	-0.640942064655522	-0.6202249588687591	-0.661659170442286	0.0	ELF3	-0.640942064655522	5e-324	0.9920849	-1074.0
FTH1	FTH1	0.0	-0.6675712070183331	-0.6554225890792671	-0.6797198249573979	0.0	FTH1	-0.6675712070183331	5e-324	5.0534034	-1074.0
MTRNR2L8	MTRNR2L8	0.0	-0.6173345775653051	-0.595530917323287	-0.6391382378073229	0.0	MTRNR2L8	-0.6173345775653051	5e-324	1.0355886	-1074.0
GRP	GRP	0.0	-1.2255404015521398	-1.19749493178927	-1.25358587131502	0.0	GRP	-1.2255404015521398	5e-324	2.4117696	-1074.0
HOXB5	HOXB5	0.0	-0.592060228825936	-0.5806098623954661	-0.603510595256406	0.0	HOXB5	-0.592060228825936	5e-324	0.92664593	-1074.0
ICA1	ICA1	0.0	-0.59976587950462	-0.5870685415739549	-0.6124632174352861	0.0	ICA1	-0.59976587950462	5e-324	0.6499596	-1074.0
IFI27	IFI27	0.0	-1.11777080420195	-1.09321956509444	-1.14232204330947	0.0	IFI27	-1.11777080420195	5e-324	1.3184587	-1074.0
IGFBP5	IGFBP5	0.0	-0.840054365589492	-0.8153693851488399	-0.8647393460301429	0.0	IGFBP5	-0.840054365589492	5e-324	1.1644918	-1074.0
KLF6	KLF6	0.0	-0.63540020185963	-0.6147958119254399	-0.656004591793819	0.0	KLF6	-0.63540020185963	5e-324	1.281642	-1074.0
MARCKSL1	MARCKSL1	0.0	-0.613486131252877	-0.599733747563714	-0.627238514942039	0.0	MARCKSL1	-0.613486131252877	5e-324	2.829314	-1074.0
MGST1	MGST1	0.0	-0.678595483352845	-0.657768108690781	-0.699422858014908	0.0	MGST1	-0.678595483352845	5e-324	1.20952	-1074.0
MIF	MIF	0.0	-0.6333065225122111	-0.6169624962110279	-0.649650548813395	0.0	MIF	-0.6333065225122111	5e-324	2.4722183	-1074.0
MLLT11	MLLT11	0.0	-0.6313151874732421	-0.614676368213921	-0.647954006732564	0.0	MLLT11	-0.6313151874732421	5e-324	0.9809456	-1074.0
WFDC2	WFDC2	0.0	-0.6495271997118471	-0.62590639273685	-0.6731480066868439	0.0	WFDC2	-0.6495271997118471	5e-324	1.9458339	-1074.0
