	primerid	Pr(>Chisq)	coef	ci.hi	ci.lo	fdr	gene	log2fc	pval	mean	score
KIT	KIT	0.0	1.2261219442495501	1.25617419095682	1.19606969754228	0.0	KIT	1.2261219442495501	1e-323	0.25720492	1073.0
SLC25A6	SLC25A6	0.0	0.8413507916055658	0.87199736503124	0.8107042181798929	0.0	SLC25A6	0.8413507916055658	1e-323	3.0205257	1073.0
LDHA	LDHA	0.0	1.17596904695391	1.21192247462515	1.14001561928268	0.0	LDHA	1.17596904695391	1e-323	2.9006457	1073.0
LDHB	LDHB	0.0	1.03026386796544	1.06715455960238	0.993373176328495	0.0	LDHB	1.03026386796544	1e-323	1.3782688	1073.0
LRMP	LRMP	0.0	0.8924399931044941	0.930207178666985	0.8546728075420029	0.0	LRMP	0.8924399931044941	1e-323	0.37786433	1073.0
MACROD1	MACROD1	0.0	0.716261281670357	0.742848635115443	0.689673928225271	0.0	MACROD1	0.716261281670357	1e-323	0.46093652	1073.0
SH3BGRL	SH3BGRL	0.0	0.8569621416351129	0.882552132384814	0.8313721508854109	0.0	SH3BGRL	0.8569621416351129	1e-323	0.36862516	1073.0
MDK	MDK	0.0	0.863458278743737	0.903250369465715	0.823666188021758	0.0	MDK	0.863458278743737	1e-323	3.0965679	1073.0
SF1	SF1	0.0	0.757375884991997	0.7852733827162659	0.729478387267728	0.0	SF1	0.757375884991997	1e-323	1.2435781	1073.0
METTL26	METTL26	0.0	0.6445398452843001	0.67187428788462	0.6172054026839789	0.0	METTL26	0.6445398452843001	1e-323	1.2028571	1073.0
IFI27	IFI27	0.0	2.8959858979086697	2.95123698659401	2.84073480922332	0.0	IFI27	2.8959858979086697	1e-323	1.3184587	1073.0
IFI16	IFI16	0.0	0.7338075935174649	0.7628863798524159	0.704728807182515	0.0	IFI16	0.7338075935174649	1e-323	0.3285951	1073.0
SNHG25	SNHG25	0.0	0.637735670036444	0.66706516767839	0.6084061723944971	0.0	SNHG25	0.637735670036444	1e-323	0.5601467	1073.0
HLA-B	HLA-B	0.0	1.90074809493155	1.9464486672378103	1.8550475226253	0.0	HLA-B	1.90074809493155	1e-323	2.698315	1073.0
GAL	GAL	0.0	1.12114090418225	1.16080344634077	1.08147836202373	0.0	GAL	1.12114090418225	1e-323	0.24724284	1073.0
GAPDH	GAPDH	0.0	0.751639921751805	0.7802463036158911	0.723033539887718	0.0	GAPDH	0.751639921751805	1e-323	5.2964306	1073.0
GBAS	GBAS	0.0	0.631171685420064	0.658034698755062	0.604308672085065	0.0	GBAS	0.631171685420064	1e-323	0.74202806	1073.0
SRP14	SRP14	0.0	0.6814199466584431	0.704101260429746	0.658738632887141	0.0	SRP14	0.6814199466584431	1e-323	3.079413	1073.0
GPI	GPI	0.0	0.762611586636025	0.7919905798210891	0.7332325934509599	0.0	GPI	0.762611586636025	1e-323	0.84552044	1073.0
RBM39	RBM39	0.0	0.7379632450522711	0.760463547052359	0.7154629430521829	0.0	RBM39	0.7379632450522711	1e-323	2.0533834	1073.0
SOX9	SOX9	0.0	0.705326724175239	0.7348999873697281	0.6757534609807501	0.0	SOX9	0.705326724175239	1e-323	0.2898757	1073.0
GSTP1	GSTP1	0.0	1.4339775038732498	1.46373348236069	1.40422152538582	0.0	GSTP1	1.4339775038732498	1e-323	2.57568	1073.0
H2AFZ	H2AFZ	0.0	0.63930455636967	0.669846082447543	0.608763030291797	0.0	H2AFZ	0.63930455636967	1e-323	2.8244522	1073.0
HMGN5	HMGN5	0.0	0.6075728818295569	0.636107084268761	0.579038679390354	0.0	HMGN5	0.6075728818295569	1e-323	0.33312452	1073.0
HSPD1	HSPD1	0.0	0.810416610016994	0.83856073247838	0.7822724875556079	0.0	HSPD1	0.810416610016994	1e-323	2.2318814	1073.0
HN1	HN1	0.0	1.04092769945663	1.07421557572266	1.00763982319059	0.0	HN1	1.04092769945663	1e-323	1.890732	1073.0
HNRNPA0	HNRNPA0	0.0	0.64766227147114	0.6715129926941279	0.6238115502481529	0.0	HNRNPA0	0.64766227147114	1e-323	1.6170042	1073.0
HNRNPAB	HNRNPAB	0.0	0.933565978201692	0.961460917657139	0.9056710387462451	0.0	HNRNPAB	0.933565978201692	1e-323	1.4035414	1073.0
HNRNPD	HNRNPD	0.0	0.651553552899938	0.678599791155085	0.624507314644791	0.0	HNRNPD	0.651553552899938	1e-323	1.4946582	1073.0
HOXC10	HOXC10	0.0	0.6625474639898311	0.6869595233696851	0.6381354046099771	0.0	HOXC10	0.6625474639898311	1e-323	0.09638409	1073.0
HSP90AB1	HSP90AB1	0.0	0.8253739776890892	0.8512028533997719	0.799545101978405	0.0	HSP90AB1	0.8253739776890892	1e-323	3.9753306	1073.0
HSP90B1	HSP90B1	0.0	0.728363796513932	0.7613224747636931	0.695405118264172	0.0	HSP90B1	0.728363796513932	1e-323	2.5537722	1073.0
HSPA4L	HSPA4L	0.0	0.598837658141202	0.623437448805233	0.574237867477172	0.0	HSPA4L	0.598837658141202	1e-323	0.20117542	1073.0
SNHG8	SNHG8	0.0	0.8672366517461021	0.896355077944922	0.838118225547283	0.0	SNHG8	0.8672366517461021	1e-323	1.4283191	1073.0
MGME1	MGME1	0.0	0.671748116232132	0.6980465281129169	0.6454497043513481	0.0	MGME1	0.671748116232132	1e-323	0.326892	1073.0
SERBP1	SERBP1	0.0	0.869376682633842	0.893513191848308	0.8452401734193771	0.0	SERBP1	0.869376682633842	1e-323	2.2628293	1073.0
MRTO4	MRTO4	0.0	0.6467334264484681	0.674741354035698	0.6187254988612371	0.0	MRTO4	0.6467334264484681	1e-323	0.652728	1073.0
REEP5	REEP5	0.0	0.7758562390753492	0.8042060744216322	0.747506403729066	0.0	REEP5	0.7758562390753492	1e-323	0.85149175	1073.0
PLA2G12A	PLA2G12A	0.0	0.670679907647454	0.696446679284135	0.6449131360107739	0.0	PLA2G12A	0.670679907647454	1e-323	0.5361894	1073.0
RGS13	RGS13	0.0	1.9037526961272901	1.94674232095963	1.8607630712949499	0.0	RGS13	1.9037526961272901	1e-323	0.15278031	1073.0
POLR2L	POLR2L	0.0	0.5852524941392739	0.612869062599211	0.5576359256793371	0.0	POLR2L	0.5852524941392739	1e-323	1.9549218	1073.0
POU2F3	POU2F3	0.0	1.1015951764611	1.1323602577670502	1.07083009515515	0.0	POU2F3	1.1015951764611	1e-323	0.088937104	1073.0
PPIA	PPIA	0.0	0.589507938346001	0.6156892720425821	0.56332660464942	0.0	PPIA	0.589507938346001	1e-323	3.3791687	1073.0
PPP1R14B	PPP1R14B	0.0	1.20125224873709	1.23341560786548	1.16908888960869	0.0	PPP1R14B	1.20125224873709	1e-323	1.8753947	1073.0
PRDX5	PRDX5	0.0	0.7807801761158321	0.8049026416954659	0.756657710536197	0.0	PRDX5	0.7807801761158321	1e-323	1.954809	1073.0
PRELID1	PRELID1	0.0	0.7367877139549529	0.762282188461487	0.711293239448419	0.0	PRELID1	0.7367877139549529	1e-323	1.409783	1073.0
PRRG4	PRRG4	0.0	0.6780548690119329	0.706397604384284	0.649712133639582	0.0	PRRG4	0.6780548690119329	1e-323	0.23015675	1073.0
PSMA1	PSMA1	0.0	0.6253285243292579	0.64978461177021	0.600872436888307	0.0	PSMA1	0.6253285243292579	1e-323	1.3802239	1073.0
PIM3	PIM3	0.0	0.6746985347529612	0.7030039490303461	0.6463931204755761	0.0	PIM3	0.6746985347529612	1e-323	0.70279646	1073.0
PSMA7	PSMA7	0.0	0.7040262247869599	0.727095713531443	0.6809567360424771	0.0	PSMA7	0.7040262247869599	1e-323	2.923174	1073.0
PSMB8	PSMB8	0.0	1.10737428811249	1.13680476148204	1.0779438147429499	0.0	PSMB8	1.10737428811249	1e-323	0.8849557	1073.0
PUM3	PUM3	0.0	0.624822133760452	0.651330929378796	0.5983133381421071	0.0	PUM3	0.624822133760452	1e-323	0.4712046	1073.0
PVT1	PVT1	0.0	0.5997755904765539	0.6232093012522211	0.576341879700886	0.0	PVT1	0.5997755904765539	1e-323	0.09796157	1073.0
QPRT	QPRT	0.0	0.718436647621902	0.745046305432107	0.6918269898116981	0.0	QPRT	0.718436647621902	1e-323	0.26073804	1073.0
RBM47	RBM47	0.0	0.596020259735324	0.622037566331706	0.570002953138943	0.0	RBM47	0.596020259735324	1e-323	0.17371067	1073.0
RABGAP1L	RABGAP1L	0.0	0.681854281280671	0.70806257625054	0.6556459863108021	0.0	RABGAP1L	0.681854281280671	1e-323	0.33869806	1073.0
RABL6	RABL6	0.0	0.61528660680961	0.641829907716579	0.588743305902641	0.0	RABL6	0.61528660680961	1e-323	0.72412056	1073.0
RASSF6	RASSF6	0.0	0.7627290899656101	0.799786409885996	0.7256717700452241	0.0	RASSF6	0.7627290899656101	1e-323	0.64303976	1073.0
RP11-204E9.1	RP11-204E9.1	0.0	0.6316768126777521	0.66169142676798	0.6016621985875229	0.0	RP11-204E9.1	0.6316768126777521	1e-323	0.2713821	1073.0
PHF14	PHF14	0.0	0.648408452426541	0.6760324718832779	0.6207844329698051	0.0	PHF14	0.648408452426541	1e-323	0.9921652	1073.0
MT1E	MT1E	0.0	1.34115467399343	1.38059408524576	1.3017152627411102	0.0	MT1E	1.34115467399343	1e-323	0.65674734	1073.0
NME4	NME4	0.0	0.897569898448522	0.9262473369751879	0.8688924599218559	0.0	NME4	0.897569898448522	1e-323	0.7134488	1073.0
MT2A	MT2A	0.0	1.32638463555768	1.36769840297142	1.28507086814394	0.0	MT2A	1.32638463555768	1e-323	1.8084902	1073.0
MX1	MX1	0.0	0.59366682658541	0.625525673355594	0.561807979815226	0.0	MX1	0.59366682658541	1e-323	0.18527941	1073.0
MYC	MYC	0.0	1.4324451587508797	1.46654017817525	1.3983501393265199	0.0	MYC	1.4324451587508797	1e-323	0.231425	1073.0
NACA	NACA	0.0	0.872501455253192	0.8970181235523659	0.8479847869540171	0.0	NACA	0.872501455253192	1e-323	3.8325932	1073.0
NCL	NCL	0.0	0.709625083589116	0.735954506325381	0.6832956608528511	0.0	NCL	0.709625083589116	1e-323	2.3219495	1073.0
NDUFA4	NDUFA4	0.0	0.8130971339196441	0.8423528189192	0.783841448920088	0.0	NDUFA4	0.8130971339196441	1e-323	2.5923233	1073.0
NDUFB10	NDUFB10	0.0	0.5929245472362641	0.6172849952707579	0.5685640992017701	0.0	NDUFB10	0.5929245472362641	1e-323	1.8453829	1073.0
NDUFS5	NDUFS5	0.0	0.8461509508749409	0.8761660601304381	0.8161358416194441	0.0	NDUFS5	0.8461509508749409	1e-323	2.7715216	1073.0
NHP2	NHP2	0.0	0.64984100653901	0.676297652954893	0.6233843601231271	0.0	NHP2	0.64984100653901	1e-323	1.3203071	1073.0
NMU	NMU	0.0	1.89720171518359	1.9317466631279498	1.8626567672392198	0.0	NMU	1.89720171518359	1e-323	0.32185298	1073.0
PFDN4	PFDN4	0.0	0.7272624045990409	0.7542060133729599	0.7003187958251209	0.0	PFDN4	0.7272624045990409	1e-323	1.1078179	1073.0
NOP10	NOP10	0.0	0.861639878332567	0.888707178838812	0.834572577826322	0.0	NOP10	0.861639878332567	1e-323	1.5251732	1073.0
NREP	NREP	0.0	0.9589541594564269	0.988285233942485	0.929623084970369	0.0	NREP	0.9589541594564269	1e-323	0.5251372	1073.0
NSA2	NSA2	0.0	0.9999061328931491	1.02618708473003	0.97362518105627	0.0	NSA2	0.9999061328931491	1e-323	1.1787812	1073.0
NUCB2	NUCB2	0.0	0.596987484897826	0.626569889420936	0.5674050803747149	0.0	NUCB2	0.596987484897826	1e-323	1.714164	1073.0
ODC1	ODC1	0.0	0.629450480944761	0.6602498419692711	0.598651119920252	0.0	ODC1	0.629450480944761	1e-323	1.4229625	1073.0
PAICS	PAICS	0.0	0.6431641049217579	0.670886998665893	0.6154412111776221	0.0	PAICS	0.6431641049217579	1e-323	0.7102253	1073.0
PCAT18	PCAT18	0.0	0.765116868445169	0.798235917851555	0.731997819038784	0.0	PCAT18	0.765116868445169	1e-323	0.060109038	1073.0
RUNX2	RUNX2	0.0	0.8025015658385121	0.831241754724929	0.773761376952095	0.0	RUNX2	0.8025015658385121	1e-323	0.07406674	1073.0
RSL1D1	RSL1D1	0.0	0.632835019951172	0.6612152607991	0.604454779103244	0.0	RSL1D1	0.632835019951172	1e-323	1.1890013	1073.0
SRRM1	SRRM1	0.0	0.594920416842202	0.619925904240469	0.5699149294439361	0.0	SRRM1	0.594920416842202	1e-323	1.6206465	1073.0
SPATS2L	SPATS2L	0.0	1.14199791966467	1.1699389833753502	1.1140568559539799	0.0	SPATS2L	1.14199791966467	1e-323	0.49332565	1073.0
CCT6A	CCT6A	0.0	0.6358523124411241	0.660218471801886	0.6114861530803629	0.0	CCT6A	0.6358523124411241	1e-323	1.6275923	1073.0
BCL2	BCL2	0.0	0.705423206778856	0.7319987071846821	0.67884770637303	0.0	BCL2	0.705423206778856	1e-323	0.31257868	1073.0
UQCC3	UQCC3	0.0	0.589028276373848	0.6151045597211869	0.5629519930265079	0.0	UQCC3	0.589028276373848	1e-323	0.7709056	1073.0
BST2	BST2	0.0	2.294586490871	2.3317225157163195	2.25745046602567	0.0	BST2	2.294586490871	1e-323	0.71752304	1073.0
BTF3	BTF3	0.0	0.615378305040124	0.637243508891922	0.593513101188326	0.0	BTF3	0.615378305040124	1e-323	3.125757	1073.0
BZW2	BZW2	0.0	0.590674967648533	0.619132607364227	0.5622173279328391	0.0	BZW2	0.590674967648533	1e-323	0.5715711	1073.0
C11ORF53	C11ORF53	0.0	0.885913383957046	0.915668431438516	0.8561583364755758	0.0	C11ORF53	0.885913383957046	1e-323	0.07373538	1073.0
C17ORF89	C17ORF89	0.0	0.607967144223555	0.6359544412727851	0.5799798471743239	0.0	C17ORF89	0.607967144223555	1e-323	1.100032	1073.0
UCHL5	UCHL5	0.0	0.5959373155269689	0.6212662207243879	0.57060841032955	0.0	UCHL5	0.5959373155269689	1e-323	0.37725338	1073.0
C4ORF3	C4ORF3	0.0	0.762453919657299	0.791205709823286	0.7337021294913121	0.0	C4ORF3	0.762453919657299	1e-323	1.0468557	1073.0
C5ORF38	C5ORF38	0.0	0.678714861581531	0.7076014347477192	0.649828288415343	0.0	C5ORF38	0.678714861581531	1e-323	0.6844572	1073.0
UBE2QL1	UBE2QL1	0.0	1.0083633434008799	1.03726291098405	0.9794637758177059	0.0	UBE2QL1	1.0083633434008799	1e-323	0.15924849	1073.0
UBE2L6	UBE2L6	0.0	0.6710020898338069	0.6987265560855951	0.643277623582019	0.0	UBE2L6	0.6710020898338069	1e-323	0.4385214	1073.0
CALD1	CALD1	0.0	0.596002149046549	0.626406994882453	0.5655973032106459	0.0	CALD1	0.596002149046549	1e-323	0.73964006	1073.0
UBE2D2	UBE2D2	0.0	0.6023755830125911	0.6264894605281139	0.578261705497067	0.0	UBE2D2	0.6023755830125911	1e-323	1.3517442	1073.0
CAPRIN1	CAPRIN1	0.0	0.7542284061183501	0.7791651113570179	0.729291700879681	0.0	CAPRIN1	0.7542284061183501	1e-323	0.6809775	1073.0
TSPO	TSPO	0.0	1.4974088263694998	1.52719860054613	1.46761905219287	0.0	TSPO	1.4974088263694998	1e-323	0.58115757	1073.0
CBX3	CBX3	0.0	0.850783684042219	0.874785421853102	0.8267819462313349	0.0	CBX3	0.850783684042219	1e-323	1.706765	1073.0
CCDC85B	CCDC85B	0.0	1.39306795150709	1.4233523093977902	1.36278359361638	0.0	CCDC85B	1.39306795150709	1e-323	0.8765345	1073.0
CCSER1	CCSER1	0.0	0.7021755156618941	0.7286155706290999	0.6757354606946879	0.0	CCSER1	0.7021755156618941	1e-323	0.06784573	1073.0
FAM8A1	FAM8A1	0.0	0.7056970835006541	0.731576737894828	0.6798174291064809	0.0	FAM8A1	0.7056970835006541	1e-323	0.25664687	1073.0
CD44	CD44	0.0	1.21003772796386	1.244175513379	1.17589994254872	0.0	CD44	1.21003772796386	1e-323	0.21472211	1073.0
CD81	CD81	0.0	1.12564474428246	1.1553543980821102	1.0959350904828	0.0	CD81	1.12564474428246	1e-323	1.2369149	1073.0
UQCRH	UQCRH	0.0	0.83239068515276	0.854149727220439	0.8106316430850821	0.0	UQCRH	0.83239068515276	1e-323	3.0700333	1073.0
B3GAT3	B3GAT3	0.0	0.60358633521477	0.632196253435013	0.574976416994528	0.0	B3GAT3	0.60358633521477	1e-323	0.5859999	1073.0
CDH8	CDH8	0.0	1.1464806336991298	1.1780769818265302	1.11488428557174	0.0	CDH8	1.1464806336991298	1e-323	0.11293289	1073.0
AZGP1	AZGP1	0.0	1.0285896331725999	1.05904896875998	0.9981302975852241	0.0	AZGP1	1.0285896331725999	1e-323	0.49962565	1073.0
YBX3	YBX3	0.0	1.7316840728665701	1.7662566180827002	1.69711152765044	0.0	YBX3	1.7316840728665701	1e-323	0.56831384	1073.0
AFP	AFP	0.0	0.9880626366245051	1.03065397439886	0.945471298850155	0.0	AFP	0.9880626366245051	1e-323	0.09900896	1073.0
ALB	ALB	0.0	1.1018854369158102	1.15018447832478	1.05358639550685	0.0	ALB	1.1018854369158102	1e-323	0.09817758	1073.0
ALDOA	ALDOA	0.0	0.6219263806126011	0.6530673770355689	0.590785384189634	0.0	ALDOA	0.6219263806126011	1e-323	2.9924042	1073.0
ALYREF	ALYREF	0.0	0.723807342268694	0.751661715485353	0.6959529690520351	0.0	ALYREF	0.723807342268694	1e-323	0.60635686	1073.0
ANAPC15	ANAPC15	0.0	0.7522162572411529	0.779288046300769	0.7251444681815359	0.0	ANAPC15	0.7522162572411529	1e-323	0.6878012	1073.0
ANP32E	ANP32E	0.0	0.8319969690856691	0.8631914301115541	0.800802508059784	0.0	ANP32E	0.8319969690856691	1e-323	0.9318281	1073.0
ANXA1	ANXA1	0.0	2.63277044270793	2.67443581163209	2.59110507378377	0.0	ANXA1	2.63277044270793	1e-323	0.2455105	1073.0
AP2B1	AP2B1	0.0	0.6020439770712199	0.628897439536955	0.575190514605485	0.0	AP2B1	0.6020439770712199	1e-323	0.60847557	1073.0
APBB2	APBB2	0.0	0.729957474516912	0.7555372034579971	0.7043777455758271	0.0	APBB2	0.729957474516912	1e-323	0.19283545	1073.0
YBX1	YBX1	0.0	0.613865869891515	0.6403252978811479	0.5874064419018821	0.0	YBX1	0.613865869891515	1e-323	3.599014	1073.0
ARL2	ARL2	0.0	0.8327115061472871	0.8616747402544879	0.8037482720400859	0.0	ARL2	0.8327115061472871	1e-323	0.7311042	1073.0
ARPC5	ARPC5	0.0	0.7708222858585541	0.7957390626838149	0.745905509033293	0.0	ARPC5	0.7708222858585541	1e-323	1.5178732	1073.0
VGLL4	VGLL4	0.0	0.738259591458819	0.764433389669157	0.7120857932484821	0.0	VGLL4	0.738259591458819	1e-323	0.44483486	1073.0
ASCL2	ASCL2	0.0	1.27496974853307	1.30757574320504	1.2423637538611	0.0	ASCL2	1.27496974853307	1e-323	0.2705215	1073.0
ATF7IP2	ATF7IP2	0.0	0.625421744199154	0.6516408406991071	0.599202647699202	0.0	ATF7IP2	0.625421744199154	1e-323	0.07813875	1073.0
ATG12	ATG12	0.0	0.585512816336121	0.6105273160507879	0.560498316621454	0.0	ATG12	0.585512816336121	1e-323	0.5558477	1073.0
ATP1A1	ATP1A1	0.0	0.870980487494646	0.9025216328043381	0.839439342184953	0.0	ATP1A1	0.870980487494646	1e-323	1.0929433	1073.0
VDAC1	VDAC1	0.0	0.645631874125549	0.671507374964281	0.619756373286817	0.0	VDAC1	0.645631874125549	1e-323	1.09032	1073.0
ATP5D	ATP5D	0.0	0.59939536178011	0.624243582860716	0.5745471406995029	0.0	ATP5D	0.59939536178011	1e-323	1.8091698	1073.0
AVIL	AVIL	0.0	0.698761859341611	0.727405798197871	0.67011792048535	0.0	AVIL	0.698761859341611	1e-323	0.1466324	1073.0
CD9	CD9	0.0	0.7281891820975129	0.7616143506178321	0.6947640135771939	0.0	CD9	0.7281891820975129	1e-323	1.1403657	1073.0
RBM38	RBM38	0.0	1.1675193614963502	1.19460417641641	1.14043454657628	0.0	RBM38	1.1675193614963502	1e-323	0.76175493	1073.0
CDK6	CDK6	0.0	0.956704764057032	0.9857166996541509	0.9276928284599141	0.0	CDK6	0.956704764057032	1e-323	0.1858819	1073.0
TALDO1	TALDO1	0.0	0.639569815453957	0.6655456739476929	0.6135939569602211	0.0	TALDO1	0.639569815453957	1e-323	1.3381109	1073.0
CTNND1	CTNND1	0.0	0.808377244828628	0.8354410890141422	0.781313400643114	0.0	CTNND1	0.808377244828628	1e-323	0.34188285	1073.0
TRMT112	TRMT112	0.0	0.681912056696432	0.70566539742404	0.6581587159688239	0.0	TRMT112	0.681912056696432	1e-323	2.0431483	1073.0
TAF1D	TAF1D	0.0	0.751361897003904	0.7808558872161959	0.7218679067916121	0.0	TAF1D	0.751361897003904	1e-323	1.2304616	1073.0
DNPH1	DNPH1	0.0	0.7375344058420129	0.7688062053696071	0.7062626063144191	0.0	DNPH1	0.7375344058420129	1e-323	0.79818237	1073.0
DPP7	DPP7	0.0	0.657222268008298	0.684744401345697	0.6297001346708989	0.0	DPP7	0.657222268008298	1e-323	0.7880403	1073.0
DRAP1	DRAP1	0.0	0.825426762567638	0.8508869671754269	0.7999665579598491	0.0	DRAP1	0.825426762567638	1e-323	1.3580811	1073.0
DTD1	DTD1	0.0	0.731594274002524	0.759068693886693	0.7041198541183549	0.0	DTD1	0.731594274002524	1e-323	0.8885416	1073.0
EDF1	EDF1	0.0	0.5856174009625009	0.6069561727131229	0.564278629211879	0.0	EDF1	0.5856174009625009	1e-323	2.4857543	1073.0
EEF1A1	EEF1A1	0.0	0.697802626538692	0.723803042996673	0.6718022100807111	0.0	EEF1A1	0.697802626538692	1e-323	5.6087923	1073.0
SVIP	SVIP	0.0	0.6727124665666379	0.699115199145924	0.646309733987352	0.0	SVIP	0.6727124665666379	1e-323	1.3964117	1073.0
EEF1D	EEF1D	0.0	1.40894060942688	1.4317447621212	1.38613645673256	0.0	EEF1D	1.40894060942688	1e-323	1.9112537	1073.0
EHF	EHF	0.0	0.9502217980539329	0.9783197891501991	0.922123806957667	0.0	EHF	0.9502217980539329	1e-323	0.1779016	1073.0
STIP1	STIP1	0.0	0.5936168853684489	0.619822822528446	0.5674109482084521	0.0	STIP1	0.5936168853684489	1e-323	0.89137214	1073.0
EIF2S2	EIF2S2	0.0	0.92256836802662	0.947450953471996	0.897685782581244	0.0	EIF2S2	0.92256836802662	1e-323	1.6603997	1073.0
EIF3E	EIF3E	0.0	0.7025856966265289	0.7317198506786821	0.673451542574376	0.0	EIF3E	0.7025856966265289	1e-323	1.9486965	1073.0
EIF3M	EIF3M	0.0	0.842116689821537	0.867973091742149	0.816260287900925	0.0	EIF3M	0.842116689821537	1e-323	1.1771306	1073.0
EIF6	EIF6	0.0	0.685169473547901	0.7106654879395279	0.659673459156274	0.0	EIF6	0.685169473547901	1e-323	1.1859188	1073.0
STAU1	STAU1	0.0	0.8315843667034829	0.8573746880265329	0.805794045380432	0.0	STAU1	0.8315843667034829	1e-323	0.8790696	1073.0
EMC7	EMC7	0.0	0.605625002249036	0.6318103116835121	0.5794396928145611	0.0	EMC7	0.605625002249036	1e-323	0.6857731	1073.0
ENO1	ENO1	0.0	0.7906443963969458	0.825297173672797	0.7559916191210949	0.0	ENO1	0.7906443963969458	1e-323	3.037823	1073.0
EPB41L4A-AS1	EPB41L4A-AS1	0.0	0.72878720766422	0.758639021350027	0.698935393978414	0.0	EPB41L4A-AS1	0.72878720766422	1e-323	0.7457585	1073.0
CSTF3	CSTF3	0.0	0.715713900243105	0.743264605583431	0.6881631949027789	0.0	CSTF3	0.715713900243105	1e-323	0.60815024	1073.0
CTSC	CTSC	0.0	0.6925864992903121	0.719489610233426	0.665683388347198	0.0	CTSC	0.6925864992903121	1e-323	0.2207299	1073.0
CHN2	CHN2	0.0	0.8490676593498321	0.87508534864227	0.823049970057393	0.0	CHN2	0.8490676593498321	1e-323	0.28499678	1073.0
CHST9	CHST9	0.0	0.6144011233329809	0.640576046446575	0.588226200219386	0.0	CHST9	0.6144011233329809	1e-323	0.13128872	1073.0
CERS6	CERS6	0.0	1.29171593671314	1.32130097849225	1.26213089493402	0.0	CERS6	1.29171593671314	1e-323	0.5230346	1073.0
CFL1	CFL1	0.0	0.644467398587462	0.671955241224417	0.616979555950507	0.0	CFL1	0.644467398587462	1e-323	3.304428	1073.0
COX8A	COX8A	0.0	0.8636420735394591	0.888684107459605	0.8386000396193141	0.0	COX8A	0.8636420735394591	1e-323	2.6377735	1073.0
TMEM261	TMEM261	0.0	0.7370605671515991	0.7635016755579859	0.710619458745213	0.0	TMEM261	0.7370605671515991	1e-323	0.7908864	1073.0
COX20	COX20	0.0	0.7589963005200991	0.7855457289052579	0.7324468721349391	0.0	COX20	0.7589963005200991	1e-323	1.1376846	1073.0
TJP1	TJP1	0.0	0.63469376471078	0.6615451175486	0.60784241187296	0.0	TJP1	0.63469376471078	1e-323	0.3003019	1073.0
COA4	COA4	0.0	0.8571758439887379	0.8855587676448199	0.828792920332656	0.0	COA4	0.8571758439887379	1e-323	0.9025968	1073.0
TFAP2B	TFAP2B	0.0	1.9351671493055502	1.97519211720393	1.8951421814071598	0.0	TFAP2B	1.9351671493055502	1e-323	0.19843833	1073.0
TMED9	TMED9	0.0	0.5907550237895021	0.617161344767773	0.56434870281123	0.0	TMED9	0.5907550237895021	1e-323	1.29618	1073.0
GNAS	GNAS	2.47790176245033e-309	0.637736714013509	0.6703508868425611	0.605122541184457	6.944678579320816e-308	GNAS	0.637736714013509	2.47790176245033e-309	3.5024557	1025.166662327888
HIST3H2A	HIST3H2A	3.0118167691635983e-285	0.6426755623771611	0.6754415681910589	0.609909556563263	7.373152757337475e-284	HIST3H2A	0.6426755623771611	3.0118167691635983e-285	0.86516553	945.158873039907
